13.0921 	EXP 	text_6: text = 'coward'
13.0921 	EXP 	image_1: image = 'Pictures/1070.jpg'
13.0921 	EXP 	slider_valence: markerPos = None
13.0921 	EXP 	slider_valence: markerPos = None
13.0921 	EXP 	slider_valence: rating = None
13.0921 	EXP 	text_6: autoDraw = True
13.0921 	EXP 	image_1: autoDraw = True
13.0921 	EXP 	ValenceImg: autoDraw = True
13.0921 	EXP 	slider_valence: autoDraw = True
13.0921 	EXP 	text: autoDraw = True
13.0921 	EXP 	text_3: autoDraw = True
13.2844 	DATA 	Keypress: space
13.3270 	EXP 	text_6: autoDraw = False
13.3270 	EXP 	image_1: autoDraw = False
13.3270 	EXP 	ValenceImg: autoDraw = False
13.3270 	EXP 	slider_valence: autoDraw = False
13.3270 	EXP 	text: autoDraw = False
13.3270 	EXP 	text_3: autoDraw = False
13.3270 	EXP 	text_5: text = 'coward'
13.3270 	EXP 	image_2: image = 'Pictures/1070.jpg'
13.3270 	EXP 	slider_arousal: markerPos = None
13.3270 	EXP 	slider_arousal: markerPos = None
13.3270 	EXP 	slider_arousal: rating = None
13.3270 	EXP 	text_5: autoDraw = True
13.3270 	EXP 	image_2: autoDraw = True
13.3270 	EXP 	Arousalimage: autoDraw = True
13.3270 	EXP 	slider_arousal: autoDraw = True
13.3270 	EXP 	text_2: autoDraw = True
13.3270 	EXP 	text_4: autoDraw = True
13.5889 	DATA 	Keypress: space
13.6030 	EXP 	New trial (rep=0, index=9): OrderedDict([('words', None), ('images', 'Pictures/1051.jpg')])
13.6441 	EXP 	text_5: autoDraw = False
13.6441 	EXP 	image_2: autoDraw = False
13.6441 	EXP 	Arousalimage: autoDraw = False
13.6441 	EXP 	slider_arousal: autoDraw = False
13.6441 	EXP 	text_2: autoDraw = False
13.6441 	EXP 	text_4: autoDraw = False
13.6441 	EXP 	text_6: text = 'coward'
13.6441 	EXP 	image_1: image = 'Pictures/1051.jpg'
13.6441 	EXP 	slider_valence: markerPos = None
